duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,stage
20.0,full_log,0.2930808323736791,0.16963158399353365,3.9718866014115894,7.816272494178866,1.4445083453988996,6.6068875806845,1.7882033902365748,3.9718866014115894,11,fusion1
20.0,full_log_excluding_training,0.4292429422432029,0.1689223309600788,4.009052038924626,7.868783639129941,1.4617243633595063,6.6744615409884975,2.4020335636798436,4.009082883438614,11,fusion1
20.0,training_window,0.04896170307991898,0.16178097086499238,3.282468709708016,6.951447514733879,2.832192516960992,5.244949451783425,0.4512778174028895,3.418080036194835,11,fusion1
20.0,common_core,3.874776594469026,0.14574184455477904,2.8475500624367007,7.402412849101069,0.36190619937947605,3.9583066628675585,13.22766140063029,3.222617442899573,11,nuisance_delta_lifted
20.0,full_log,4.640727637641657,0.15912356525020874,3.3928374033544952,6.918586596380272,1.2329122712703964,5.033545552172482,17.555690594929878,3.3928374033544952,11,nuisance_delta_lifted
20.0,full_log_excluding_training,4.742000928415754,0.16124852128315356,3.411551949198534,6.908987149256188,1.248463307160083,5.069766836644674,18.00737416295701,3.4115762634939717,11,nuisance_delta_lifted
20.0,training_window,2.099120031926706,0.14665425998502066,3.010860414935367,7.048364319896424,0.49787526593122283,4.086682256199442,20.508262222849208,3.167970510329113,11,nuisance_delta_lifted
20.0,common_core,4.60343394322223,0.13486239397146665,2.6941379271758215,7.684807900499641,-1.5692834825387487,4.215552473851344,19.43345304237895,2.9660992459139264,11,nuisance_corrected_mag
20.0,full_log,4.826361313879461,0.15703885162671632,3.348463667182723,7.282664820359704,0.5988499708103057,5.015425170410481,19.66171729039162,3.348463667182723,11,nuisance_corrected_mag
20.0,full_log_excluding_training,4.520505439261763,0.15668025728258808,3.3686518253596964,7.2574865991326245,0.7351627425016733,5.039278904764834,18.331952564892116,3.3687741557408493,11,nuisance_corrected_mag
20.0,training_window,3.453823786574766,0.15171727960231615,3.101813372071093,7.397645087816711,-0.7721718112113813,4.310888103232413,17.359288096616805,3.1176692965571506,11,nuisance_corrected_mag
20.0,common_core,2.701731425789027,0.16637241422981808,3.325911081463391,6.796238300970893,3.406358307276011,4.76475785929941,4.668712639399326,3.338537491469461,11,solved
20.0,full_log,4.627889175442366,0.15458790200205966,3.4820464841494143,6.378466345437946,1.6465203106817543,5.084497870436122,15.49817432039913,3.4820464841494143,11,solved
20.0,full_log_excluding_training,4.855278763598028,0.15621127821948588,3.4747477841049452,6.367274958014361,1.6820663400671294,5.096776431291822,15.462307185854355,3.4747584314956135,11,solved
20.0,training_window,1.7291866865340957,0.1484789224240852,3.090139978501654,6.529371846556398,2.532791248472358,4.852245603178125,15.15850538975306,3.2426083054005272,11,solved
40.0,common_core,nan,0.2089001725711451,3.94251817123014,8.530029779414809,-5.914761627828993,8.836821820302575,nan,4.34345152154995,11,mag_model
40.0,full_log,nan,0.19939847609349137,4.549254295603233,9.220306851545294,-5.18868319754711,8.067910047198085,nan,4.549254295603233,11,mag_model
40.0,full_log_excluding_training,nan,0.1968708230998389,4.610154283203907,9.366178085298184,-5.360787389733256,8.1007310614997,nan,4.612822936892861,11,mag_model
40.0,training_window,nan,0.18533957351791605,3.7421696856545688,8.072993889234354,-3.0718364260089257,7.491060987833924,nan,4.022948298791588,11,mag_model
40.0,common_core,4.23945718952962,0.15772006008110276,3.2107986061797504,7.521757209185326,1.906546723728606,6.195581018475658,30.651440282555797,3.5808370567508114,11,fusion1
40.0,full_log,5.8460857879111945,0.17098494790378096,3.601921114804802,7.466800859344583,0.39527242812658553,6.3673295144459745,20.837601051880775,3.601921114804802,11,fusion1
40.0,full_log_excluding_training,5.9399179267840445,0.1700469454728878,3.6196542397099036,7.515785751848686,0.0071180139146092385,6.461611565356857,20.746026166448424,3.6197778793101243,11,fusion1
40.0,training_window,4.957051205158102,0.1503361230074143,3.097391677145047,7.183489680658643,2.6719473576391377,5.649152121563163,21.032191795865515,3.2909123982021016,11,fusion1
40.0,common_core,6.751288080438654,0.1666783920520038,3.031628445925956,6.904487371707838,0.08260617481594378,4.188878960363294,52.50222746050536,3.439693207623316,11,nuisance_delta_lifted
40.0,full_log,6.31789298315665,0.1563187458882224,3.393808274527348,6.855313048031342,-0.1642940706561103,4.827895576853975,26.738970200164406,3.393808274527348,11,nuisance_delta_lifted
40.0,full_log_excluding_training,6.4575774414678655,0.15617050076849145,3.3331321219997037,6.70899841754251,-0.30367235809693005,4.791157308475339,28.318569364755923,3.3335801445147273,11,nuisance_delta_lifted
40.0,training_window,4.827778208033777,0.15216369428601947,3.0255726316485805,6.446380417480779,0.6532131922179292,4.613097458279998,35.55041258954664,3.2621772533933138,11,nuisance_delta_lifted
