trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
oracle-binned-median,0.2923051550124975,7.7481958694205435,7.8342048534151845,1,diagonal,log-0098
oracle-binned-median,0.4050569256155882,7.8182579748978664,26.89297494838613,37,transfer,log-0098
oracle-binned-median,0.4416439675187173,8.790531517846397,8.797271431057952,1,diagonal,log-0099
oracle-binned-median,0.3717648589505303,7.806326036785973,27.646230740179327,37,transfer,log-0099
oracle-binned-median,0.18397720636913978,4.852728738658426,4.876132074528729,1,diagonal,log-0113
oracle-binned-median,0.2976003121241636,6.38303367207506,18.567743287317825,37,transfer,log-0113
oracle-binned-median,0.1800424016594902,4.246314782528987,4.271522228378569,1,diagonal,log-0115
oracle-binned-median,0.349579625803933,7.590982651632254,24.199396888784438,37,transfer,log-0115
oracle-binned-median,0.16656063816646943,5.118365085054582,5.1381763768297235,1,diagonal,log-0116
oracle-binned-median,0.3255290945536494,7.114676496398324,23.013739455176534,37,transfer,log-0116
oracle-binned-median,0.12331705641248654,3.186931178807656,3.1916624371943243,1,diagonal,log-0117
oracle-binned-median,0.34775435641905206,7.384893543760127,24.442040417910054,37,transfer,log-0117
oracle-binned-median,0.12433757599379397,4.521426263277457,4.5294018520603325,1,diagonal,log-0118
oracle-binned-median,0.34584753337311985,7.61146120558891,24.190550200734318,37,transfer,log-0118
oracle-binned-median,0.13324709494527062,4.730759969584403,4.736529470992284,1,diagonal,log-0119
oracle-binned-median,0.33125167989233206,7.151392341789506,24.036660483253144,37,transfer,log-0119
oracle-binned-median,0.1499844569941293,5.0824173172060645,5.11205329645628,1,diagonal,log-0120
oracle-binned-median,0.3378687086767276,7.042231101997068,22.896957522453764,37,transfer,log-0120
oracle-binned-median,0.17222080515972155,5.530823553177206,5.560944300608609,1,diagonal,log-0122
oracle-binned-median,0.31614966395988947,6.934803596163101,22.276106424635383,37,transfer,log-0122
oracle-binned-median,0.19634663212943618,6.421971576835719,6.446300405390538,1,diagonal,log-0125
oracle-binned-median,0.28934168420719086,6.288899451252537,17.002367468489307,37,transfer,log-0125
oracle-binned-median,0.1500358717789026,5.442008899829774,5.445103115215209,1,diagonal,log-0126
oracle-binned-median,0.3079427970400127,6.668996978900032,21.11478897788107,37,transfer,log-0126
oracle-binned-median,0.13857246696527695,4.867078231137898,4.867165165951586,1,diagonal,log-0127
oracle-binned-median,0.32394369853757404,6.794601736988678,22.87573728791329,37,transfer,log-0127
oracle-binned-median,0.16347462311809666,5.169995709635482,5.205364065244239,1,diagonal,log-0129
oracle-binned-median,0.3073191068871977,6.663065439332424,22.147144334241776,37,transfer,log-0129
oracle-binned-median,0.17901348199392422,5.928757182632703,5.9602299322442995,1,diagonal,log-0132
oracle-binned-median,0.30704404764586374,6.603323526961313,22.287932037243404,37,transfer,log-0132
oracle-binned-median,0.17172355241974013,5.074701066913002,5.0747111893100465,1,diagonal,log-0133
oracle-binned-median,0.30012242181285126,6.550276821530736,21.03497901526331,37,transfer,log-0133
oracle-binned-median,0.18313379822854303,3.2925641498019584,3.3140352596237053,1,diagonal,log-0145-filtered-c01
oracle-binned-median,0.3421464082582288,11.594073580701389,28.283827820593594,37,transfer,log-0145-filtered-c01
oracle-binned-median,0.2609961750006332,4.271183783193758,4.273785325961508,1,diagonal,log-0147-filtered-c01
oracle-binned-median,0.3523854752754026,11.915222229137475,24.560496264084644,37,transfer,log-0147-filtered-c01
oracle-binned-median,0.19104406068416954,3.335051277170035,3.3521155961748805,1,diagonal,log-0147-filtered-c02
oracle-binned-median,0.33071877699128394,11.548185288118923,24.5398858940023,37,transfer,log-0147-filtered-c02
oracle-binned-median,0.20363571291545324,4.012668933757712,4.027381896429526,1,diagonal,log-0151-filtered-c01
oracle-binned-median,0.36060246237975563,12.292218536324084,27.51448956433716,37,transfer,log-0151-filtered-c01
oracle-binned-median,0.19712813027214285,3.6086127197325886,3.629535348418956,1,diagonal,log-0152-filtered-c01
oracle-binned-median,0.31673098327814625,11.020478755376951,26.67326202362083,37,transfer,log-0152-filtered-c01
oracle-binned-median,0.24363847780418368,3.45188214506917,3.4650016271190496,1,diagonal,log-0152-filtered-c02
oracle-binned-median,0.3478361028251052,12.18877791532024,28.206181887073207,37,transfer,log-0152-filtered-c02
oracle-binned-median,0.11136643627762821,2.9704160935297805,2.9802650677237983,1,diagonal,log-0155-filtered-c01
oracle-binned-median,0.3349333121684314,11.39455813803262,24.83197877738492,37,transfer,log-0155-filtered-c01
