duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,n_trials,stage
120.0,full_log,6.401422002637839,0.16085901561401272,3.632973691872985,7.243025397518544,-0.4138689783906466,6.475614890336411,24.012973056957293,3.632973691872985,11,44,fusion1
120.0,full_log_excluding_training,6.176342857743686,0.16767944531955908,3.5912365296104936,7.555571743203938,-1.174876539124003,6.226504024212561,22.014605544983283,3.7669425757567945,11,44,fusion1
120.0,training_window,6.58569107686654,0.1547013402474617,3.403553255388105,6.292599062573908,0.8309773810585613,5.913017798024614,31.552489890503686,3.4919870175327996,11,44,fusion1
120.0,common_core,5.684137374615192,0.1483024675416938,2.9268176279677847,6.684134791918543,0.30805400598214866,4.675972853796736,41.8091914560635,2.968626814460065,11,44,nuisance_delta_lifted
120.0,full_log,6.77531108027825,0.14547054678346538,3.2258738955106443,6.2476513602345385,-0.9858283198721081,5.375658327720464,41.94303452213967,3.2258738955106443,11,44,nuisance_delta_lifted
120.0,full_log_excluding_training,6.1334890955696935,0.1505902078214749,3.158787974448672,6.466653845543826,-1.1447394409713012,4.525332955025199,40.79819646923198,3.179550538672123,11,44,nuisance_delta_lifted
120.0,training_window,7.735138588633173,0.1509868704443486,3.1755936792625885,6.203944115717991,0.09426322678935722,4.82410326063677,44.24597681598979,3.1776202364555095,11,44,nuisance_delta_lifted
120.0,common_core,4.1817166515426365,0.1480551932886688,2.8451246771221106,6.962246758243654,-3.367491224230726,6.395939521805593,27.567483005272834,3.0886928054483804,11,44,nuisance_corrected_mag
120.0,full_log,5.378500898154317,0.14844134151575303,3.4702629136333742,6.648359743688458,-2.3551303609676357,5.824985015960724,29.51956805422895,3.4702629136333742,11,44,nuisance_corrected_mag
120.0,full_log_excluding_training,5.0445082261700485,0.14817224458201955,3.2571000111467656,6.90344348876743,-2.2148961953304926,5.611297825391615,28.938877287711772,3.4532072814547785,11,44,nuisance_corrected_mag
120.0,training_window,5.807219752711874,0.15476996931203135,3.402263657330365,6.3625695703054275,-2.284844393147821,6.110500045662629,29.4670145036389,3.437578033285437,11,44,nuisance_corrected_mag
120.0,common_core,6.239094386522933,0.14538339756803215,2.711705553228742,6.254047873059534,2.64494494802542,5.010243953217197,46.57312854642538,2.967564101203969,11,44,solved
120.0,full_log,9.181544734523662,0.14552554388719202,3.2390040140823975,5.9627847674171,0.21388092590651542,4.915359447995831,32.243868717808674,3.2390040140823975,11,44,solved
120.0,full_log_excluding_training,7.578046260549202,0.15563895821234153,3.1850696899221003,6.172283131362539,-0.2100208914973059,4.627447313481575,32.46160132373511,3.2398338628218006,11,44,solved
120.0,training_window,7.915081415111991,0.14831895218022798,3.1050095913931006,5.715427586165151,1.1983360605888382,5.3216032947872485,39.20504977567826,3.1082132267135023,11,44,solved
